replicate,soil_environment,neighbor,shoot_focal,shoot_neighbor,root_focal_q1,root_focal_q3,root_neighbor_q1,root_neighbor_q3
1,even,Centaurea,804,266,242.292,188.207,340.29,287.253
2,even,Centaurea,445,84,154.564,255.66,0.71,12.845
3,even,Centaurea,796,111,67.383,108.275,64.64,64.381
4,even,Centaurea,330,107,46.57,135.707,19.92,66.227
5,even,Centaurea,625,183,121.801,206.886,69.23,120.066
6,even,Centaurea,636,186,142.355,201.797,167.54,57.153
7,even,Centaurea,600,251,92.459,60.955,104.02,40.355
8,even,Centaurea,425,163,248.91,212.19,155.9,84.99
9,even,Centaurea,675,295,380.933,217.203,204.14,82.877
10,even,Centaurea,193,447,3.687,17.652,24.8,73.098
1,even,none,750,0,50.63,54.94,0,0
2,even,none,363,0,22.248,20.833,0,0
3,even,none,514,0,18.273,51.773,0,0
4,even,none,737,0,73.926,70.185,0,0
5,even,none,369,0,24.769,28.907,0,0
6,even,none,838,0,29.924,70.032,0,0
7,even,none,1197,0,104.676,105.874,0,0
8,even,none,484,0,30.429,86.375,0,0
9,even,none,1085,0,558.9,121.161,0,0
10,even,none,310,0,18.507,26.812,0,0
2,even,Poa,211,51,26.084,19.738,0.149,0.114
8,even,Poa,1744,162,323.409,151.14,15.003,188.672
10,even,Poa,1748,48,227.866,325.919,9.829,41.596
1,patchy,Centaurea,448,86,191.384,221.257,126.27,102.863
2,patchy,Centaurea,728,84,97.359,18.613,229.96,51.207
3,patchy,Centaurea,1344,219,372.695,278.884,609.66,142.866
4,patchy,Centaurea,912,107,495.016,173.191,287.28,52.209
5,patchy,Centaurea,318,123,62.569,37.972,5.36,1.928
7,patchy,Centaurea,2369,220,1310.036,280.34,499.86,163.26
8,patchy,Centaurea,1992,199,499.269,119.114,219.59,142.636
10,patchy,Centaurea,1118,361,124.597,57.944,245.76,70.356
1,patchy,none,385,0,51.09,33.35,0,0
2,patchy,none,766,0,105.029,59.065,0,0
3,patchy,none,1429,0,167.483,1011.4,0,0
4,patchy,none,1348,0,65.942,31.859,0,0
5,patchy,none,1080,0,73.725,30.547,0,0
6,patchy,none,386,0,52.767,40.119,0,0
7,patchy,none,1194,0,40.1,206.8,0,0
8,patchy,none,985,0,105.504,48.05,0,0
9,patchy,none,1215,0,209.448,117.746,0,0
10,patchy,none,1235,0,100.782,98.695,0,0
1,patchy,Poa,960,27,393.217,84.98,17.438,0
2,patchy,Poa,974,59,466.947,177.13,97.485,1.374
3,patchy,Poa,1147,109,1163.888,463.366,337.732,78.576
4,patchy,Poa,311,39,472.574,78.764,1.489,3.469
5,patchy,Poa,815,12,392.24,212.135,0,0
6,patchy,Poa,983,36,1481.231,704.452,145.269,102.208
7,patchy,Poa,570,17,292.262,150.05,1.198,2.75
8,patchy,Poa,613,30,306.74,56.348,0,6.132
9,patchy,Poa,575,45,869.91,244.471,85.02,4.869
