"treatment","competitor","leaf_damage"
"ladybug","present",40
"ladybug","present",44
"ladybug","present",38
"ladybug","present",37
"ladybug","present",44
"ladybug","present",39
"ladybug","present",39
"ladybug","present",35
"ladybug","present",25
"ladybug","present",37
"ladybug","present",36
"ladybug","present",41
"ladybug","present",42
"ladybug","present",34
"ladybug","present",40
"ladybug","present",36
"ladybug","present",48
"ladybug","present",39
"ladybug","present",48
"ladybug","present",39
"ladybug","present",46
"ladybug","present",40
"ladybug","present",38
"ladybug","present",40
"ladybug","present",49
"ladybug","absent",19
"ladybug","absent",20
"ladybug","absent",35
"ladybug","absent",28
"ladybug","absent",15
"ladybug","absent",33
"ladybug","absent",30
"ladybug","absent",17
"ladybug","absent",21
"ladybug","absent",31
"ladybug","absent",27
"ladybug","absent",29
"ladybug","absent",22
"ladybug","absent",25
"ladybug","absent",27
"ladybug","absent",27
"ladybug","absent",22
"ladybug","absent",26
"ladybug","absent",24
"ladybug","absent",28
"ladybug","absent",15
"ladybug","absent",22
"ladybug","absent",26
"ladybug","absent",26
"ladybug","absent",22
"wasp","present",45
"wasp","present",38
"wasp","present",43
"wasp","present",40
"wasp","present",45
"wasp","present",43
"wasp","present",36
"wasp","present",37
"wasp","present",33
"wasp","present",44
"wasp","present",43
"wasp","present",40
"wasp","present",31
"wasp","present",34
"wasp","present",39
"wasp","present",35
"wasp","present",38
"wasp","present",48
"wasp","present",42
"wasp","present",32
"wasp","present",33
"wasp","present",45
"wasp","present",44
"wasp","present",38
"wasp","present",40
"wasp","absent",44
"wasp","absent",23
"wasp","absent",44
"wasp","absent",54
"wasp","absent",36
"wasp","absent",41
"wasp","absent",35
"wasp","absent",33
"wasp","absent",52
"wasp","absent",30
"wasp","absent",47
"wasp","absent",39
"wasp","absent",34
"wasp","absent",44
"wasp","absent",22
"wasp","absent",45
"wasp","absent",49
"wasp","absent",37
"wasp","absent",36
"wasp","absent",32
"wasp","absent",45
"wasp","absent",42
"wasp","absent",40
"wasp","absent",36
"wasp","absent",40
"control","present",41
"control","present",30
"control","present",32
"control","present",31
"control","present",40
"control","present",38
"control","present",43
"control","present",38
"control","present",41
"control","present",43
"control","present",39
"control","present",36
"control","present",43
"control","present",35
"control","present",47
"control","present",47
"control","present",41
"control","present",47
"control","present",34
"control","present",39
"control","present",34
"control","present",31
"control","present",38
"control","present",49
"control","present",42
"control","absent",66
"control","absent",58
"control","absent",66
"control","absent",60
"control","absent",68
"control","absent",74
"control","absent",66
"control","absent",59
"control","absent",60
"control","absent",55
"control","absent",68
"control","absent",67
"control","absent",67
"control","absent",71
"control","absent",58
"control","absent",70
"control","absent",75
"control","absent",68
"control","absent",57
"control","absent",65
"control","absent",62
"control","absent",67
"control","absent",68
"control","absent",61
"control","absent",63
