source.habitat,adults,replicate,Juveniles_colonized,Juveniles_not_colonized
none,0,1,10,6
none,0,2,16,0
none,0,3,16,0
none,0,4,16,0
none,0,5,16,0
none,0,6,16,0
none,4,1,13,3
none,4,2,9,7
none,4,3,14,2
none,4,4,8,8
none,4,5,9,7
none,4,6,8,8
natural,0,1,2,14
natural,0,2,2,14
natural,0,3,3,13
natural,0,4,3,13
natural,0,5,1,15
natural,0,6,1,15
natural,4,1,1,15
natural,4,2,5,11
natural,4,3,5,11
natural,4,4,4,12
natural,4,5,2,14
natural,4,6,6,10
artificial,0,1,13,3
artificial,0,2,12,4
artificial,0,3,15,1
artificial,0,4,11,5
artificial,0,5,14,2
artificial,0,6,16,0
artificial,4,1,8,8
artificial,4,2,4,12
artificial,4,3,9,7
artificial,4,4,16,0
artificial,4,5,16,0
artificial,4,6,12,4
