Location,Lure,Moths
Top,Scent,28
Top,Scent,19
Top,Scent,32
Top,Scent,15
Top,Scent,13
Middle,Scent,39
Middle,Scent,12
Middle,Scent,42
Middle,Scent,25
Middle,Scent,21
Lower,Scent,44
Lower,Scent,21
Lower,Scent,38
Lower,Scent,32
Lower,Scent,29
Ground,Scent,17
Ground,Scent,12
Ground,Scent,23
Ground,Scent,19
Ground,Scent,14
Top,Sugar,35
Top,Sugar,22
Top,Sugar,33
Top,Sugar,21
Top,Sugar,17
Middle,Sugar,36
Middle,Sugar,38
Middle,Sugar,44
Middle,Sugar,27
Middle,Sugar,22
Lower,Sugar,42
Lower,Sugar,17
Lower,Sugar,31
Lower,Sugar,29
Lower,Sugar,37
Ground,Sugar,18
Ground,Sugar,27
Ground,Sugar,15
Ground,Sugar,29
Ground,Sugar,16
Top,Chemical,32
Top,Chemical,29
Top,Chemical,16
Top,Chemical,18
Top,Chemical,20
Middle,Chemical,37
Middle,Chemical,40
Middle,Chemical,18
Middle,Chemical,28
Middle,Chemical,36
Lower,Chemical,35
Lower,Chemical,39
Lower,Chemical,41
Lower,Chemical,31
Lower,Chemical,34
Ground,Chemical,22
Ground,Chemical,25
Ground,Chemical,14
Ground,Chemical,16
Ground,Chemical,19
